species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Aglais io;Aglais io (Linnaeus, 1758);Nymphalidae;1136;8.84;8.67;9.01;0.33;17.56;2.91;8.79;18.08;17.86;18.29;8.58;27.54;3.7;18.32;787.83;771.32;804.35;315.7;2794.09;283.68;707.07;57.65;56.01;59.29;16.83;223.21;28.17;51.73;50.47;47.41;53.54;0.4;358.6;52.67;31.5;213.46;205.1;221.82;3.08;869.44;143.63;192.32;771.52;755.11;787.92;100.8;1826.4;281.83;748.02;1570.61;1544.4;1596.82;372.71;3062.91;450.25;1527.83;0.44;0.43;0.44;0.15;0.84;0.12;0.43
Aglais urticae;Aglais urticae (Linnaeus, 1758);Nymphalidae;1271;8.12;7.94;8.3;-3.1;17.49;3.76;8.55;18.61;18.41;18.82;8.4;29.55;4.24;18.72;781.52;766.7;796.34;260.25;3042.73;306.73;684.44;57.76;56.41;59.12;15.82;242.55;28.06;51.52;48.31;45.64;50.98;0.07;425.86;55.31;27.81;198.55;191.13;205.97;0.3;1007.42;153.63;180.33;727.88;712.81;742.95;84.45;1880.67;311.95;724.93;1498.26;1473.78;1522.74;292.41;3148.39;506.82;1498.09;0.44;0.44;0.45;0.15;0.89;0.13;0.43
Anthocharis cardamines;Anthocharis cardamines (Linnaeus, 1758);Pieridae;1245;8.3;8.08;8.51;-3.72;17.84;3.88;8.63;18.52;18.29;18.74;8.58;29.55;4.03;18.58;778.77;762.14;795.4;315.7;3042.73;299.1;691.12;58.79;57.14;60.43;16.83;247.18;29.62;51.68;51.98;48.43;55.53;0.06;437.3;63.85;28.78;208.44;198.88;218.01;0.06;1033.83;172.03;185.09;745.66;726.97;764.36;67.27;1937.66;336.26;726.22;1525.06;1495.2;1554.92;253.1;3145.69;537.06;1499.96;0.44;0.44;0.45;0.15;0.85;0.12;0.44
Anthocharis damone;Anthocharis damone Boisduval, 1836;Pieridae;19;13.72;12.68;14.76;9.56;16.54;2.16;14.07;17.32;16.41;18.22;15.05;21.9;1.88;16.78;750.69;667.33;834.04;493.55;1174.23;172.94;752.33;93.82;75.58;112.06;26.81;183.66;37.84;84.38;141.8;99.49;184.11;19.39;295.31;87.78;138.45;452.84;368.24;537.44;157.76;730.84;175.53;461.01;1247.98;1123.01;1372.95;746.1;1606.57;259.27;1276.63;2346.69;2170.86;2522.53;1611.99;2831.63;364.81;2385.25;0.37;0.34;0.41;0.23;0.52;0.07;0.38
Anthocharis euphenoides;Anthocharis euphenoides Staudinger, 1869;Pieridae;131;12.94;12.4;13.48;1.7;18.41;3.13;13.16;16.43;16.15;16.71;11.27;19.5;1.62;16.39;722.26;680.9;763.62;372.21;1544;239.27;674.17;69.87;64.97;74.77;30.16;163.4;28.36;60.57;149.64;130.53;168.75;0.97;450.89;110.58;132.88;459.9;415.43;504.37;5.38;1087.91;257.26;433.25;1154.5;1082.26;1226.73;149.95;2042.82;417.92;1158.45;2195.69;2092.83;2298.54;460.19;3353.42;595.04;2193.73;0.37;0.36;0.39;0.22;0.79;0.1;0.36
Anthocharis gruneri;Anthocharis gruneri Herrich-Schäffer, 1851;Pieridae;36;12.64;11.93;13.34;8.77;16.17;2.08;12.52;18.66;18.12;19.19;16.01;21.9;1.58;18.69;652.67;604.78;700.55;475.8;1069.06;141.53;606.92;70.25;58.76;81.73;26.81;156.26;33.95;71.17;89.91;69.45;110.37;16.7;232;60.46;74.89;362.7;314.45;410.95;142.88;660.45;142.61;335.02;1139.57;1056.31;1222.84;730.9;1602.18;246.09;1103.69;2200.42;2079.23;2321.62;1611.99;2868.66;358.19;2165.98;0.32;0.3;0.34;0.23;0.48;0.05;0.32
Apatura ilia;Apatura ilia ([Schiffermüller], 1775);Nymphalidae;528;9.03;8.85;9.21;1.4;14.95;2.13;8.84;18.93;18.71;19.15;11.15;23.97;2.58;19.26;776.95;757.27;796.64;482.4;1782.31;230.28;712.17;57.94;55.81;60.08;16.83;223.21;25.02;54.19;41.24;37.79;44.68;0.97;286.48;40.3;27.85;220.24;211.04;229.44;6.26;740.08;107.63;198.43;815.24;797.27;833.21;135.88;1464.06;210.2;803.12;1641.72;1613.15;1670.29;450.03;2544.75;334.19;1620.68;0.42;0.42;0.43;0.22;0.81;0.11;0.42
Apatura iris;Apatura iris (Linnaeus, 1758);Nymphalidae;571;8.51;8.35;8.67;1.28;15.96;2;8.63;18.4;18.17;18.64;10.34;25.45;2.89;18.68;774.96;756.42;793.5;480.87;1782.31;225.6;715.34;54.58;52.7;56.45;16.83;205.57;22.78;51.68;37.83;35.19;40.46;0.4;249.52;32.06;27.72;191.14;183.7;198.58;3.08;660.75;90.48;187.42;744.5;728.81;760.18;100.8;1585.34;190.83;748.72;1527.4;1502.27;1552.53;408.98;2808.87;305.74;1531.48;0.43;0.43;0.44;0.22;0.84;0.11;0.43
Apatura metis;Apatura metis Freyer, 1829;Nymphalidae;47;11.13;10.61;11.64;6.3;15.96;1.77;11.26;21.21;20.66;21.75;16.73;24.35;1.86;21.11;653.38;608.38;698.38;436.85;1174.23;153.27;622.58;55.37;45.99;64.74;25.22;183.66;31.93;46.62;46.07;34.9;57.25;7.9;218.54;38.05;38.86;305.66;277.63;333.68;100.33;660.75;95.45;313.43;1072.5;1017.15;1127.86;536.89;1585.34;188.53;1090.85;2081.26;1993.75;2168.78;1202.33;2808.87;298.07;2127.61;0.32;0.29;0.34;0.21;0.53;0.08;0.29
Aphantopus hyperantus;Aphantopus hyperantus (Linnaeus, 1758);Nymphalidae;1002;7.9;7.73;8.07;-0.53;15.96;2.7;8.42;18.62;18.38;18.85;8.58;27.54;3.8;19.14;770.27;753.16;787.37;315.7;3042.73;275.96;686.43;53.02;51.62;54.41;16.83;242.55;22.49;49.77;36.32;34.36;38.27;0.14;291.74;31.56;26.75;171.6;165.04;178.16;0.45;705.12;105.84;173.03;695.13;680.34;709.91;98.52;1585.34;238.43;700.59;1447.61;1423.76;1471.46;332.55;2808.87;384.77;1449.25;0.44;0.43;0.45;0.15;0.84;0.12;0.43
