id	taxonID	scientificName	acceptedNameUsage	nameAccordingTo	higherClassification	kingdom	phylum	class	order	family	taxonRank	nomenclaturalCode	taxonomicStatus	modified	license	rightsHolder	accessRights	bibliographicCitation	datasetName
Aglais io	Aglais io	Aglais io (Linnaeus, 1758)	Aglais io	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Aglais urticae	Aglais urticae	Aglais urticae (Linnaeus, 1758)	Aglais urticae	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Anthocharis cardamines	Anthocharis cardamines	Anthocharis cardamines (Linnaeus, 1758)	Anthocharis cardamines	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Anthocharis damone	Anthocharis damone	Anthocharis damone Boisduval, 1836	Anthocharis damone	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Anthocharis euphenoides	Anthocharis euphenoides	Anthocharis euphenoides Staudinger, 1869	Anthocharis euphenoides	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Anthocharis gruneri	Anthocharis gruneri	Anthocharis gruneri Herrich-Schäffer, 1851	Anthocharis gruneri	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Apatura ilia	Apatura ilia	Apatura ilia ([Schiffermüller], 1775)	Apatura ilia	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Apatura iris	Apatura iris	Apatura iris (Linnaeus, 1758)	Apatura iris	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Apatura metis	Apatura metis	Apatura metis Freyer, 1829	Apatura metis	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
Aphantopus hyperantus	Aphantopus hyperantus	Aphantopus hyperantus (Linnaeus, 1758)	Aphantopus hyperantus	Kudrna O, Harpke A, Lux K, Pennerstorfer J, Schweiger O, Settele J, Wiemers M (2011) Distribution atlas of butterflies in Europe. Gesellschaft für Schmetterlingsschutz, Halle, Germany, 576 pp.	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	species	ICZN	valid	2013-10-18	Available under Open Database Licence. Data users must cite this Data Paper properly in any publication that results from an analysis using the provided data as a whole or in parts.	Helmholtz Centre for Environmental Research - UFZ, Department of Community Ecology, Theodor-Lieser-Str. 4, 06120 Halle, Germany	This dataset is freely available for non-commercial scientific use.	Helmholtz Center for Environmental Research (2013). CLIMBER: Climatic niche characteristics of the butterflies in Europe. 379 data records. Contributed by Schweiger O, Harpke A, Wiemers M, Settele J. Online at <zookeys repository>, version 1.0 (released on <date>), Resource ID: <doi>, Data Paper ID <doi assigned to this manuscript>	CLIMBER
