species,cluster,Family,N,range_N,urban_score_mean,urban_score_25,urban_score_75,overwintering_stage,flight_months_average,wing_index,hostplant_specificity,hostplant_index,egg_laying_type,egg_laying_location,adult_food_types,hostplant_growth_form,voltinism_mean,temp_mean,hostplant_growth_Sh,hostplant_growth_Th,hostplant_growth_Sb,hostplant_growth_Tr,overwintering_stage_E,overwintering_stage_L,overwintering_stage_P,overwintering_stage_A,overwintering_stage_ordinal
Aglais io,1,Nymphalidae,26756,831028,1.8049770155191744,0.07570555061101913,2.641855686903,A,7.5,0.061,4,0.236,Lb,1,5,3,2,8.84,1,1,0,0,0,0,0,1,4.5
Aglais urticae,2,Nymphalidae,48381,896804,2.136550736249422,0.07435247302055359,3.1758869886398315,A,7,0.021,2,0.707,Lb,1,5,2,2,8.12,1,1,0,0,0,0,0,1,4.5
Agriades optilete,3,Lycaenidae,2982,513540,-2.181949405279012,-0.02782231569290161,-1.2491028755903244,L,3,-0.046,3,0.218,Se,1,3,1,1,4.19,0,0,1,0,0,1,0,0,2
Agriades orbitulus,3,Lycaenidae,393,94254,-2.8232297609566257,-0.0984220802783966,-2.200115203857422,L,3,-0.05,3,0.258,Se,2,1,1,1,3.36,1,0,0,0,0,1,0,0,2
Anthocharis cardamines,2,Pieridae,22809,932146,0.6914729520913152,0.052838146686553955,0.8338558673858643,P,4,0.001,3,0.101,Se,2,2,2,1,8.3,1,1,0,0,0,0,1,0,3.5
Anthocharis euphenoides,2,Pieridae,581,25379,-2.9909505308884956,0.028528660535812378,-0.4212139844894409,P,3.5,-0.012,2,0.577,Se,2,1,1,1,12.94,1,0,0,0,0,0,1,0,3.5
Apatura iris,2,Nymphalidae,3544,579415,-0.8389623857977411,0.020751923322677612,-0.35031402111053467,L,2.5,0.106,3,0.316,Se,1,5,2,1,8.51,0,0,1,1,0,1,0,0,2
Aphantopus hyperantus,2,Nymphalidae,31159,826638,-0.4202030206885343,0.01381838321685791,-0.22133320569992065,L,3,0.004,4,0.063,Sb,1,2,2,1,7.9,1,1,0,0,0,1,0,0,2
Aporia crataegi,3,Pieridae,7721,625832,-1.8201844691495115,-0.041431814432144165,-0.7030681371688843,L,3.5,0.076,3,0.082,Lb,1,4,2,1,9.14,0,0,1,1,0,1,0,0,2
Araschnia levana,2,Nymphalidae,7138,485556,-1.2055000960355862,0.03419461101293564,-0.39991140365600586,P,5,-0.009,2,0.707,Lb,1,2,2,2,8.62,1,1,0,0,0,0,1,0,3.5
Arethusana arethusa,3,Nymphalidae,737,62964,-0.7442123973185522,0.009274274110794067,-0.2375747412443161,L,4,0.014,3,0.333,Sb,2,1,1,1,10.63,1,0,0,0,0,1,0,0,2
Argynnis pandora,3,Nymphalidae,1002,87852,0.25923141630411806,-0.03109648823738098,-0.17525100708007813,L,5,0.109,2,0.577,Se,3,3,1,1.5,11.92,1,0,0,0,0,1,0,0,2
Argynnis paphia,3,Nymphalidae,25436,903240,-1.1422062487892994,-0.007695607841014862,-0.6402201354503632,EL,3.5,0.094,2,0.258,Se,1,4,1,1,9.02,1,0,0,0,1,1,0,0,1.5
Aricia agestis,1,Lycaenidae,3967,282544,-0.20918198626850604,0.009122759103775024,0.2917940020561218,L,7,-0.048,4,0.102,Se,1,4,1,2,10.16,1,0,0,0,0,1,0,0,2
Aricia artaxerxes,3,Lycaenidae,2813,726338,-1.1438486554113105,-0.036532312631607056,-0.7018502950668335,L,4,-0.049,4,0.056,Se,1,2,1,1,6.45,1,0,0,0,0,1,0,0,2
